source,id,year_joined_party,start_key,province_joined,locale_joined,political_party,year_left_party,end_key
-9,12037,1916,0,-9,-9,1,-9,0
3,16,1918,0,-9,-9,1,-9,0
3,20,1904,0,-9,-9,1,-9,0
3,26,1902,0,-9,-9,2,1916,0
3,41,1921,0,85,204,1,-9,0
3,49,1919,0,90,761,1,-9,0
3,89,-9,0,-9,-9,13,-9,0
3,89,1917,0,23,52,1,-9,0
3,111,1906,0,-9,-9,16,1907,0
3,111,1910,0,-9,-9,18,1917,0
3,111,1917,0,-9,-9,1,-9,0
3,122,1905,0,-9,-9,1,-9,0
3,126,1902,0,-9,-9,12,1917,0
3,126,1917,0,-9,-9,21,1917,0
3,126,1918,0,203,-9,1,-9,0
3,126,1918,0,203,485,1,-9,0
3,150,1919,0,367,-9,1,-9,0
3,159,1919,0,-9,-9,1,-9,0
3,177,1902,0,-9,-9,1,-9,0
3,181,1904,0,-9,-9,1,-9,0
3,188,-9,0,-9,-9,1,-9,0
3,188,1883,0,-9,-9,4,-9,0
3,203,1917,0,203,485,1,-9,0
3,223,1896,0,-9,-9,13,1901,2
3,223,1901,1,203,-9,12,1904,0
3,223,1904,0,-9,-9,1,1917,2
3,223,1904,0,182,414,1,-9,0
3,223,1914,1,-9,-9,21,1917,2
3,223,1918,1,-9,-9,2,1922,2
3,262,1905,0,203,485,1,-9,0
3,283,1905,0,179,-9,1,-9,0
3,309,1902,0,-9,-9,13,1905,0
3,309,1917,0,-9,-9,21,1917,0
3,309,1918,0,-9,-9,1,-9,0
3,357,1900,0,182,414,1,-9,0
3,410,1917,0,203,485,1,-9,0
3,417,1904,0,182,414,1,-9,0
3,471,-9,0,-9,-9,1,-9,0
3,484,1907,0,-9,-9,1,-9,0
3,521,1913,0,-9,-9,1,-9,0
3,521,1913,0,182,414,1,-9,0
3,549,-9,0,-9,-9,12,-9,0
3,549,1903,0,-9,-9,1,-9,0
3,586,1904,0,337,841,1,-9,0
3,632,1904,0,-9,-9,12,1907,0
3,632,1917,0,-9,-9,1,-9,0
3,649,1917,0,-9,-9,1,-9,0
3,705,1904,0,90,761,1,-9,0
3,724,1917,0,42,-9,1,-9,0
3,742,1902,1,-9,-9,12,1917,0
3,742,1917,0,-9,-9,21,1920,2
3,742,1920,0,-9,-9,1,-9,0
3,786,1904,0,-9,-9,1,-9,0
3,791,1914,0,-9,-9,1,-9,0
3,833,1917,0,-9,-9,2,1920,0
3,833,1920,0,203,485,1,-9,0
3,840,1894,0,-9,-9,13,1894,1
3,840,1898,0,-9,-9,1,-9,0
3,841,1897,0,-9,-9,24,1920,0
3,841,1920,0,-9,-9,1,-9,0
3,878,1901,0,-9,-9,12,1918,2
3,878,1931,0,203,485,1,-9,0
3,904,1904,0,-9,-9,1,-9,0
3,904,1904,0,-9,-9,22,1920,2
3,917,1917,0,-9,-9,1,-9,0
3,922,1917,0,278,698,1,-9,0
3,953,1910,0,-9,-9,12,1917,0
3,953,1917,0,-9,-9,1,-9,0
3,962,1920,0,-9,-9,1,-9,0
3,966,1900,0,-9,-9,-9,1903,0
3,966,1903,0,203,485,1,-9,0
3,977,1917,0,-9,-9,9,1917,0
3,977,1917,0,182,414,1,-9,0
3,998,1904,0,-9,-9,1,-9,0
3,1028,1906,0,-9,-9,5,1917,0
3,1028,1917,0,-9,-9,23,1919,0
3,1028,1919,0,325,-9,1,-9,0
3,1040,-9,0,-9,-9,1,-9,0
3,1040,1905,2,-9,-9,2,1921,2
3,1051,1902,0,-9,-9,1,-9,0
3,1052,1921,0,203,485,1,-9,0
3,1077,1907,0,-9,-9,1,-9,0
3,1084,1917,0,-9,-9,1,-9,0
3,1088,1913,0,-9,-9,1,-9,0
3,1092,1904,0,203,485,1,-9,0
3,1109,1905,0,240,-9,1,-9,0
3,1111,1930,0,203,485,1,-9,0
3,1115,1898,0,354,-9,1,-9,0
3,1136,1918,0,-9,-9,1,-9,0
3,1151,1919,0,-9,-9,1,-9,0
3,1154,1942,0,-9,-9,1,-9,0
3,1157,1913,0,182,414,1,-9,0
3,1227,1914,0,-9,-9,1,-9,0
3,1241,1905,0,-9,-9,1,-9,0
3,1250,1896,0,-9,-9,11,1896,1
3,1250,1898,0,182,414,1,-9,0
3,1258,1901,0,203,235,1,-9,0
3,1259,1930,0,203,485,1,-9,0
3,1268,1898,0,-9,-9,11,-9,0
3,1268,1903,0,-9,-9,1,-9,0
3,1284,1903,0,-9,-9,1,-9,0
3,1303,1901,0,-9,-9,12,-9,0
3,1303,1903,0,-9,-9,1,-9,0
3,1331,1917,0,203,485,1,-9,0
3,1345,1890,0,-9,-9,11,1890,1
3,1345,1898,0,-9,-9,12,1903,0
3,1345,1903,0,-9,-9,2,1920,0
3,1345,1920,0,203,485,1,-9,0
3,1358,1913,0,-9,-9,30,1920,0
3,1358,1920,0,40,-9,1,-9,0
3,1388,1910,0,179,626,1,-9,0
3,1438,1907,0,-9,-9,1,-9,0
3,1448,1903,0,-9,-9,1,-9,0
3,1453,1918,0,182,414,1,-9,0
3,1465,1909,0,-9,-9,1,-9,0
3,1525,1905,0,-9,-9,1,-9,0
3,1541,1908,0,67,165,1,-9,0
3,1583,1892,0,-9,-9,11,-9,0
3,1583,1898,0,293,-9,1,-9,0
3,1604,1905,0,-9,-9,1,-9,0
3,1612,1905,0,-9,-9,1,-9,0
3,1622,1890,0,-9,-9,11,1890,1
3,1622,1898,0,163,683,1,-9,0
3,1632,1898,0,80,781,1,-9,0
3,1650,1904,0,225,551,1,-9,0
3,1683,1904,0,-9,-9,1,-9,0
3,1686,1917,0,-9,-9,1,-9,0
3,1694,1917,0,203,485,1,-9,0
3,1731,1917,0,-9,-9,21,1917,0
3,1731,1917,0,182,-9,1,-9,0
3,1731,1917,0,182,414,1,-9,0
3,1747,1908,0,-9,-9,7,1909,0
3,1747,1909,0,-9,-9,1,-9,0
3,1753,1902,0,-9,-9,1,-9,0
3,1764,1893,0,182,414,1,-9,0
3,1769,1914,0,-9,-9,1,-9,0
3,1779,1917,0,-9,-9,1,-9,0
3,1797,1915,0,-9,-9,1,-9,0
3,1804,1904,0,-9,-9,1,-9,0
3,1804,1904,0,-9,-9,3,-9,0
3,1808,1891,0,-9,-9,3,1893,0
3,1808,1893,0,203,485,1,-9,0
3,1821,1910,0,-9,-9,1,-9,0
3,1825,1898,0,-9,-9,1,-9,0
3,1830,1907,0,-9,-9,1,-9,0
3,1842,1913,0,324,-9,1,-9,0
3,1879,1892,0,-9,-9,11,-9,0
3,1879,1917,0,182,414,1,-9,0
3,1884,1920,0,-9,-9,1,-9,0
3,1933,1906,0,-9,-9,1,-9,0
3,1936,1903,0,-9,-9,1,-9,0
3,1947,1930,0,-9,-9,1,-9,0
3,1951,1893,0,-9,-9,1,-9,0
3,1984,1900,0,-9,-9,5,1904,0
3,1984,1904,0,-9,-9,1,-9,0
3,2011,1901,0,27,-9,1,-9,0
3,2015,1917,0,-9,-9,1,-9,0
3,2017,1917,0,-9,-9,1,-9,0
3,2018,1912,0,-9,-9,1,-9,0
3,2039,1908,0,-9,-9,1,-9,0
3,2058,1917,0,-9,-9,1,-9,0
3,2071,1893,0,-9,-9,1,-9,0
3,2130,1903,0,-9,-9,1,-9,0
3,2158,1940,0,203,485,1,-9,0
3,2189,1904,0,264,655,1,-9,0
3,2256,1903,0,90,761,1,-9,0
3,2315,1912,0,-9,-9,1,-9,0
3,2344,1908,0,-9,-9,1,-9,0
3,2360,1905,0,174,395,1,-9,0
3,2367,1898,0,-9,-9,1,-9,0
3,2387,1919,0,-9,-9,1,-9,0
3,2410,1895,2,-9,-9,11,1895,1
3,2410,1897,0,77,189,1,-9,0
3,2416,-9,0,-9,-9,8,1910,0
3,2416,1910,0,182,414,1,-9,0
3,2418,1917,0,-9,-9,-9,1917,0
3,2423,1923,0,203,485,1,-9,0
3,2429,1924,0,203,485,1,-9,0
3,2453,1903,0,-9,-9,39,1904,0
3,2453,1905,0,203,485,1,-9,0
3,2468,1912,0,182,414,1,-9,0
3,2470,1920,0,203,485,1,-9,0
3,2471,1904,0,-9,-9,12,1914,0
3,2471,1914,0,-9,-9,36,1918,0
3,2471,1918,0,-9,-9,1,-9,0
3,2489,1906,0,225,551,1,-9,0
3,2489,1917,0,-9,-9,21,1920,2
3,2489,1920,0,108,266,1,-9,0
3,2499,1924,0,1,-9,1,-9,0
3,2519,1904,0,-9,-9,1,-9,0
3,2571,1898,0,182,414,1,-9,0
3,2575,1898,0,203,485,1,-9,0
3,2586,1919,0,-9,-9,1,-9,0
3,2597,1910,0,182,414,1,-9,0
3,2663,1895,0,-9,-9,41,1918,0
3,2663,1920,0,79,434,1,-9,0
3,2692,1913,0,162,536,1,-9,0
3,2695,1915,0,-9,-9,1,-9,0
3,2701,1917,0,133,461,1,-9,0
3,2710,1899,0,-9,-9,1,-9,0
3,2808,1903,0,-9,-9,1,-9,0
3,2809,1903,0,-9,-9,1,-9,0
3,2901,1906,0,203,485,1,-9,0
3,2913,1918,0,-9,-9,1,-9,0
3,2915,1905,0,-9,-9,1,-9,0
3,2957,1899,0,-9,-9,1,-9,0
3,3007,1895,0,-9,-9,11,-9,0
3,3007,1898,0,-9,-9,1,-9,0
3,3056,1895,0,-9,-9,11,1895,1
3,3056,1898,0,-9,-9,1,-9,0
3,3091,1898,0,309,761,1,-9,0
3,3112,1915,0,-9,-9,1,-9,0
3,3116,1902,0,-9,-9,1,-9,0
3,3117,1893,0,-9,-9,1,-9,0
3,3117,1893,0,-9,-9,11,-9,0
3,3135,1903,0,-9,-9,1,-9,0
3,3144,1905,0,-9,-9,1,-9,0
3,3160,1902,0,-9,-9,1,-9,0
3,3161,1904,0,291,735,1,-9,0
3,3236,1904,0,-9,-9,1,-9,0
3,3243,1904,0,-9,-9,1,-9,0
3,3294,1898,0,143,318,1,-9,0
3,3319,1905,0,-9,-9,1,-9,0
3,3323,1900,0,-9,-9,1,-9,0
3,3323,1900,0,-9,-9,20,1917,1
3,3350,1897,0,-9,-9,24,1921,0
3,3350,1921,0,29,475,1,-9,0
3,3398,-9,0,-9,-9,1,-9,0
3,3398,1902,2,-9,-9,13,1917,2
3,3398,1917,1,-9,-9,31,1921,2
3,3443,1913,0,-9,-9,1,-9,0
3,3458,1920,0,203,-9,1,-9,0
3,3534,1917,0,325,332,1,-9,0
3,3546,1906,0,-9,-9,1,-9,0
3,3611,-9,0,-9,-9,1,-9,0
3,3614,1902,0,-9,-9,1,-9,0
3,3638,1904,0,-9,-9,12,1917,0
3,3638,1917,0,-9,-9,21,1919,2
3,3638,1919,0,182,414,1,-9,0
3,3653,1896,0,-9,-9,11,-9,0
3,3653,1903,0,-9,-9,1,-9,0
3,3660,1915,0,-9,-9,1,-9,0
3,3663,1916,0,-9,-9,1,-9,0
3,3666,1912,0,-9,-9,12,-9,0
3,3666,1917,0,-9,-9,1,-9,0
3,3680,1901,0,-9,-9,1,-9,0
3,3683,1909,0,182,-9,1,-9,0
3,3693,1903,0,-9,-9,1,-9,0
3,3698,1914,0,-9,-9,1,-9,0
3,3702,1906,0,-9,-9,1,-9,0
3,3704,1903,0,-9,-9,1,-9,0
3,3738,1905,0,261,651,1,-9,0
3,3750,1917,0,-9,-9,1,-9,0
3,3752,1906,0,-9,-9,1,-9,0
3,3755,1904,0,-9,-9,1,-9,0
3,3758,1903,0,-9,-9,1,-9,0
3,3760,1917,0,-9,-9,1,-9,0
3,3772,1902,0,203,485,1,-9,0
3,3784,1903,0,-9,-9,1,-9,0
3,3797,1901,0,223,545,1,-9,0
3,3801,1903,0,-9,-9,1,-9,0
3,3821,1903,0,-9,-9,1,-9,0
3,3851,1912,0,182,-9,1,-9,0
3,3859,1918,0,318,787,1,-9,0
3,4024,1912,0,-9,-9,1,-9,0
3,4120,1905,0,-9,-9,1,-9,0
3,4182,1916,0,-9,-9,1,-9,0
3,4219,1906,0,286,220,1,-9,0
3,4285,1903,0,-9,-9,1,-9,0
3,4295,1917,0,-9,-9,1,-9,0
3,4375,1905,0,-9,-9,1,1917,0
3,4375,1905,0,114,272,1,-9,0
3,4375,1921,0,-9,-9,1,-9,0
3,4552,1921,0,-9,-9,1,-9,0
3,4565,1919,0,-9,-9,1,-9,0
3,4699,1904,0,313,770,1,-9,0
3,4869,1928,0,-9,-9,1,-9,0
3,4952,1904,0,-9,-9,1,-9,0
3,4958,1919,0,-9,-9,1,-9,0
3,5025,1924,0,-9,-9,1,-9,0
3,5054,1913,0,-9,-9,1,-9,0
3,5072,1908,0,-9,-9,1,-9,0
3,5073,1918,0,-9,-9,1,-9,0
3,5119,1917,0,-9,-9,1,-9,0
3,5132,1911,0,-9,-9,1,-9,0
3,5187,1898,0,203,485,1,-9,0
3,5250,1903,0,-9,-9,1,-9,0
3,5270,1905,0,113,760,1,-9,0
3,5291,1915,0,-9,-9,1,-9,0
3,5313,1903,0,-9,-9,1,-9,0
3,5328,1901,0,105,-9,1,-9,0
3,5338,1904,0,-9,-9,5,1918,0
3,5338,1918,0,-9,-9,1,-9,0
3,5371,1919,0,-9,-9,1,-9,0
3,5470,1916,0,-9,-9,1,-9,0
3,5533,1893,0,203,485,1,-9,0
3,5587,1905,0,-9,-9,1,-9,0
3,5624,1920,0,213,229,1,-9,0
3,5782,1913,0,-9,-9,1,-9,0
3,5821,1914,0,-9,-9,1,-9,0
3,5857,1917,0,-9,-9,1,-9,0
3,5866,1911,0,-9,-9,1,-9,0
3,5888,1918,0,-9,-9,1,-9,0
3,5894,1919,0,-9,-9,1,-9,0
3,5984,1919,0,-9,-9,1,-9,0
3,6059,1904,0,179,626,1,-9,0
3,6096,1919,0,-9,-9,1,-9,0
3,6097,1902,0,-9,-9,20,1917,0
3,6097,1907,0,-9,-9,46,1917,2
3,6097,1917,0,182,414,1,-9,0
3,6098,1905,0,-9,-9,1,-9,0
3,6123,1910,0,-9,-9,1,-9,0
3,6163,1921,0,-9,-9,1,-9,0
3,6242,1898,0,-9,-9,1,-9,0
3,6273,1903,0,-9,-9,1,-9,0
3,6283,-9,0,-9,-9,1,-9,0
3,6283,1905,0,-9,-9,12,1914,0
3,6314,1898,0,-9,-9,1,-9,0
3,6333,1898,0,324,797,1,-9,0
3,6363,1904,0,-9,-9,1,-9,0
3,6383,1917,0,-9,-9,1,-9,0
3,6426,1916,0,-9,-9,1,-9,0
3,6524,1919,0,-9,-9,1,-9,0
3,6527,1918,0,-9,-9,1,-9,0
3,6584,1915,0,-9,-9,1,-9,0
3,6586,1912,0,-9,-9,1,-9,0
3,6590,1917,0,790,-9,1,-9,0
3,6591,1917,0,-9,-9,1,-9,0
3,6592,1914,0,-9,-9,1,-9,0
3,6594,1912,0,-9,-9,1,-9,0
3,6598,1916,0,-9,-9,1,-9,0
3,7066,1902,0,-9,-9,1,-9,0
3,7072,1905,0,-9,-9,1,-9,0
3,7082,-9,0,-9,-9,1,-9,0
3,7082,1905,2,-9,-9,12,1917,2
3,7088,1918,0,186,-9,1,-9,0
3,7104,1908,0,-9,-9,5,1917,0
3,7104,1920,0,-9,-9,1,-9,0
3,7105,-9,0,-9,-9,2,1914,0
3,7105,1917,0,182,414,1,-9,0
3,7110,1906,2,-9,-9,12,1917,0
3,7110,1917,0,182,414,1,-9,0
3,7124,-9,0,-9,-9,1,-9,0
3,7124,1884,0,-9,-9,4,1890,1
3,7124,1890,0,-9,-9,12,1903,0
3,7124,1903,0,-9,-9,2,1919,0
3,7124,1919,0,-9,-9,1,-9,0
3,7168,1915,0,219,-9,1,-9,0
3,7193,-9,0,-9,-9,9,1917,0
3,7193,1902,0,-9,-9,12,1903,0
3,7193,1903,0,-9,-9,1,-9,0
3,7193,1917,0,-9,-9,9,1917,0
3,7193,1917,0,182,414,1,-9,0
3,7210,1902,0,-9,-9,24,1903,0
3,7210,1903,0,-9,-9,2,1914,0
3,7210,1917,0,-9,-9,1,-9,0
3,7218,1919,0,203,485,1,-9,0
3,7221,1903,0,182,414,1,-9,0
3,7226,1917,0,182,414,1,-9,0
3,7234,1903,0,-9,-9,1,-9,0
3,7288,1930,0,203,485,1,-9,0
3,7290,1917,0,-9,-9,1,-9,0
3,7319,1918,0,-9,-9,5,1921,0
3,7319,1921,0,-9,-9,1,-9,0
3,7361,1906,0,-9,-9,1,-9,0
3,7394,1905,0,-9,-9,1,-9,0
3,7406,1902,0,-9,-9,1,-9,0
3,7409,1896,0,-9,-9,15,1899,0
3,7409,1899,0,-9,-9,20,1905,0
3,7409,1900,0,-9,-9,1,-9,0
3,7414,1917,0,201,340,1,-9,0
3,7426,1919,0,347,-9,1,-9,0
3,7442,1926,0,203,485,1,-9,0
3,7455,1905,0,-9,-9,24,1917,0
3,7455,1917,0,325,-9,1,-9,0
3,7458,1918,0,-9,-9,1,-9,0
3,7581,1905,0,-9,-9,1,-9,0
3,7590,1905,0,-9,-9,1,-9,0
3,7592,1931,0,203,485,1,-9,0
3,7602,1917,0,-9,-9,1,-9,0
3,7754,1904,0,-9,-9,-9,1907,0
3,7754,1907,0,-9,-9,1,-9,0
3,7792,1925,0,220,-9,1,-9,0
3,7832,1907,0,-9,-9,2,1916,0
3,7832,1916,0,-9,-9,21,1918,0
3,7832,1918,0,-9,-9,1,-9,0
3,7988,1905,0,203,485,1,-9,0
3,7990,1904,0,-9,-9,1,-9,0
3,7990,1917,0,-9,-9,2,1921,0
3,7990,1923,0,-9,-9,1,-9,0
3,8086,1908,0,-9,-9,1,-9,0
3,8090,1898,0,-9,-9,1,-9,0
3,8090,1904,0,-9,-9,1,-9,0
3,8195,1917,0,-9,-9,1,-9,0
3,8199,1903,0,182,414,1,-9,0
3,8222,1899,0,-9,-9,1,-9,0
3,8226,1914,0,203,-9,1,-9,0
3,8365,-9,0,-9,-9,13,1917,0
3,8365,1917,0,182,414,1,-9,0
3,8373,-9,0,-9,-9,1,-9,0
3,8373,1900,0,-9,-9,20,1919,0
3,8373,1919,0,-9,-9,29,1920,0
3,8430,1904,0,77,189,1,-9,0
3,8470,1956,0,-9,-9,1,-9,0
3,8630,1919,0,-9,-9,1,-9,0
3,8652,1902,0,-9,-9,12,1904,0
3,8652,1905,0,-9,-9,7,1920,0
3,8652,1921,0,203,485,1,-9,0
3,8678,1904,0,-9,-9,12,1908,0
3,8678,1908,0,27,-9,1,-9,0
3,8836,1907,0,-9,-9,1,1921,0
3,8836,1920,1,-9,-9,42,1921,0
3,8836,1922,0,-9,-9,1,-9,0
3,8837,1917,0,200,480,1,-9,0
3,8934,-9,0,-9,-9,2,1917,0
3,8934,1918,0,-9,-9,1,-9,0
3,8987,1917,0,-9,-9,1,-9,0
3,9009,1911,0,-9,-9,1,-9,0
3,9106,1905,0,-9,-9,1,-9,0
3,9207,-9,0,-9,-9,12,1903,0
3,9207,1903,0,-9,-9,1,-9,0
3,9328,1899,0,-9,-9,1,-9,0
3,9499,-9,0,-9,-9,1,-9,0
3,9499,1890,0,-9,-9,12,1903,0
3,9499,1903,0,-9,-9,2,1917,0
3,9508,1897,0,-9,-9,1,-9,0
3,9514,1917,0,-9,-9,1,-9,0
3,9645,1904,0,-9,-9,1,-9,0
3,9707,-9,0,-9,-9,1,-9,0
3,9707,1917,0,-9,-9,5,1919,0
3,9736,1914,0,-9,-9,13,1917,0
3,9736,1917,0,-9,-9,1,-9,0
3,9862,1914,0,-9,-9,1,-9,0
3,9867,1899,0,23,53,1,-9,0
3,9871,1903,2,-9,-9,1,-9,0
3,9956,1902,0,-9,-9,1,-9,0
3,10023,1907,0,-9,-9,1,-9,0
3,10027,-9,0,-9,-9,1,-9,0
3,10027,1904,0,-9,-9,1,-9,0
3,10027,1917,0,-9,-9,21,1918,0
3,10087,1905,0,135,310,1,-9,0
3,10089,1905,0,-9,-9,5,1906,0
3,10089,1907,0,368,249,1,-9,0
3,10097,1901,0,-9,-9,1,-9,0
3,10098,1910,0,-9,-9,12,1911,0
3,10098,1911,0,-9,-9,1,-9,0
3,10098,1911,0,182,414,1,-9,0
3,10099,1902,0,105,258,1,-9,0
3,10167,1917,0,-9,-9,1,-9,0
3,10192,-9,0,-9,-9,1,-9,0
3,10192,-9,0,-9,-9,5,1921,2
3,10217,1904,0,-9,-9,1,-9,0
3,10240,1912,0,-9,-9,1,-9,0
3,10397,1914,0,182,-9,1,-9,0
3,10643,-9,0,-9,-9,1,-9,0
3,10643,1906,0,-9,-9,12,1917,0
3,10643,1917,0,-9,-9,21,1919,0
3,10716,1898,0,-9,-9,1,-9,0
3,10897,-9,0,-9,-9,1,-9,0
3,10897,1905,0,-9,-9,1,1922,0
3,10897,1905,0,182,414,1,-9,0
3,11004,-9,0,-9,-9,1,-9,0
3,11004,1905,0,-9,-9,2,1920,2
3,11174,1918,0,-9,-9,1,-9,0
3,11234,1917,0,-9,-9,1,-9,0
3,11248,1904,0,-9,-9,1,-9,0
3,11294,1905,0,-9,-9,1,-9,0
3,11361,1903,0,-9,-9,12,1917,0
3,11361,1917,0,-9,-9,36,1918,0
3,11361,1918,0,302,-9,1,-9,0
3,11361,1918,0,302,748,1,-9,0
3,11471,1898,0,-9,-9,1,-9,0
3,11485,1906,0,-9,-9,24,1914,0
3,11485,1917,0,-9,-9,1,-9,0
3,11485,1917,0,-9,-9,1,1922,0
3,11501,1905,0,203,485,1,-9,0
3,11816,1903,0,203,485,1,-9,0
3,11816,1917,0,-9,-9,33,1920,2
3,11816,1920,0,-9,-9,1,-9,0
3,11861,1900,0,182,414,1,-9,0
3,11887,1914,0,-9,-9,1,-9,0
3,11926,1903,0,-9,-9,1,-9,0
3,11926,1917,0,-9,-9,33,1917,0
3,11957,1898,0,325,318,1,-9,0
3,12064,1904,0,-9,-9,1,-9,0
3,12286,1945,0,203,485,1,-9,0
3,12288,-9,0,-9,-9,1,-9,0
3,12288,1905,0,-9,-9,2,1919,2
3,12308,1901,0,-9,-9,1,-9,0
3,12388,1911,0,-9,-9,1,-9,0
3,12466,1896,0,-9,-9,1,-9,0
3,12584,-9,0,-9,-9,1,-9,0
3,12584,-9,0,-9,-9,10,-9,0
3,12609,1906,0,-9,-9,1,-9,0
3,12617,1903,0,-9,-9,2,1917,0
3,12617,1917,0,-9,-9,1,1918,0
3,12617,1917,0,-9,-9,9,1917,0
3,12617,1917,0,182,414,1,-9,0
3,12617,1920,0,203,485,1,-9,0
3,12637,1908,0,-9,-9,1,-9,0
3,12661,1903,0,-9,-9,2,1918,0
3,12661,1914,1,-9,-9,21,1918,2
3,12661,1918,0,-9,-9,1,-9,0
3,12661,1918,0,87,567,1,-9,0
3,12667,1903,0,-9,-9,1,-9,0
3,12667,1907,0,-9,-9,2,1917,0
3,12667,1928,0,-9,-9,1,-9,0
3,12685,1905,0,-9,-9,28,1918,0
3,12685,1905,0,23,52,1,-9,0
3,12687,-9,0,-9,-9,5,-9,0
3,12687,1920,0,29,-9,1,-9,0
3,12693,1904,0,182,414,1,-9,0
3,12701,-9,0,-9,-9,5,-9,0
3,12701,1920,0,-9,-9,1,-9,0
3,12726,1901,0,-9,-9,12,1903,0
3,12726,1903,0,79,434,1,-9,0
3,12729,1917,0,-9,-9,1,-9,0
3,12743,1895,0,-9,-9,26,-9,0
3,12743,1899,0,-9,-9,20,-9,0
3,12743,1903,0,-9,-9,1,-9,0
3,12749,1895,0,203,485,1,-9,0
3,12767,1890,0,-9,-9,1,1908,0
3,12767,1890,0,182,414,1,-9,0
3,12791,1903,0,-9,-9,1,-9,0
3,12914,1903,0,16,-9,1,-9,0
3,12940,1907,0,-9,-9,1,-9,0
3,13037,1904,0,-9,-9,2,-9,0
3,13037,1917,0,91,-9,1,-9,0
3,13543,-9,0,-9,-9,13,1903,0
3,13543,1901,0,-9,-9,14,-9,0
3,13543,1903,0,-9,-9,1,-9,0
3,13951,1905,0,-9,-9,1,-9,0
3,13951,1914,1,-9,-9,36,1917,2
3,14026,1901,0,-9,-9,12,1917,0
3,14026,1917,0,325,-9,1,-9,0
3,14056,1907,0,182,414,1,-9,0
3,14066,1908,0,179,-9,1,-9,0
3,14074,1917,0,182,414,1,-9,0
3,14150,1905,0,-9,-9,1,-9,0
3,14164,1913,0,49,134,1,-9,0
3,14168,1909,0,-9,-9,1,-9,0
3,14230,1906,0,-9,-9,1,-9,0
3,14240,1897,0,-9,-9,1,-9,0
3,14248,1904,0,-9,-9,1,-9,0
3,14250,1903,0,203,485,1,-9,0
3,14265,1940,0,-9,-9,1,-9,0
3,14340,1917,0,203,485,1,-9,0
3,14344,1899,0,-9,-9,1,-9,0
3,14366,1913,0,182,414,1,-9,0
3,14438,1904,0,-9,-9,1,-9,0
3,14461,1941,0,-9,-9,1,-9,0
3,14462,1912,0,-9,-9,1,-9,0
3,14463,1904,0,179,-9,1,-9,0
3,14468,1898,0,233,572,1,-9,0
3,14503,-9,0,-9,-9,1,-9,0
3,14503,-9,0,-9,-9,3,-9,0
3,14520,1907,0,-9,-9,1,-9,0
